JDtimes, Fluxes, Uncertainty
2559.223067,307.841326,18.86800382
2559.223748,260.405850,19.04969428
2559.224429,275.269982,18.98942398
2559.225110,286.352936,18.94656702
2559.225791,286.596418,18.94564422
2559.226472,279.531727,18.97274335
2559.227153,284.117015,18.95507801
2559.227835,284.453311,18.95379363
2559.228516,314.954194,18.84320263
2559.229197,291.125853,18.92861918
2559.229878,275.582687,18.98819129
2559.230559,285.030103,18.95159429
2559.231240,300.187863,18.89533829
2559.231921,266.442028,19.02481429
2559.232602,337.016011,18.76969478
2559.233283,300.956325,18.89256243
2559.233964,318.066369,18.83252674
2559.234645,351.243128,18.72480153
2559.235326,351.777764,18.72315016
2559.236007,307.308060,18.86988624
2559.236689,323.963375,18.81258133
2559.237370,358.681551,18.70204852
2559.238051,333.815488,18.78005491
2559.238732,357.964666,18.70422072
2559.239413,378.359955,18.6440582
2559.240094,353.930089,18.7165274
2559.240775,388.602028,18.61505846
2559.241456,463.159322,18.42449509
2559.242137,375.883081,18.65118917
2559.242818,420.106102,18.53042364
2559.243499,385.994366,18.6223687
2559.244180,361.208127,18.69442733
2559.244862,396.287573,18.59379498
2559.245543,358.879523,18.70144942
2559.246224,354.675836,18.71424211
